t,SNR
0,38.8761181252005
0.005,44.8053279592013
0.01,44.4605733771225
0.015,42.7364253846862
0.02,43.6896075360403
0.025,44.9056616795228
0.03,42.145516189589
0.035,42.8899669428407
0.04,44.1303216261681
0.045,44.4998842801565
0.05,44.1715568734977
0.055,42.2865694015169
0.06,42.168474882712
0.065,45.1553818111977
0.07,44.7679886125583
0.075,43.4318752844891
0.08,44.1671394479343
0.085,43.9250909045325
0.09,45.3619035660421
0.095,44.020395378233
0.1,42.2908464224231
0.105,44.3019997209413
0.11,42.8722572000863
0.115,45.6396958297855
0.12,44.4181597281602
0.125,39.9488635059476
0.13,42.6819496210509
0.135,46.896067022573
0.14,42.3975232926979
0.145,42.4548738076573
0.15,41.6044756799936
0.155,42.1037669610864
0.16,43.5120508997161
0.165,42.9576570072043
0.17,43.6718489980993
0.175,44.1117161140641
0.18,42.9997873650981
0.185,43.9302552703353
0.19,42.3139964350425
0.195,43.5681556062234
0.2,43.8904934114042
0.205,42.724747224809
0.21,42.6175435631086
0.215,43.2384955294743
0.22,44.0603064779539
0.225,42.9230798062147
0.23,44.9445085412636
0.235,45.1259605493537
0.24,45.7170586212664
0.245,41.7144468383209
0.25,44.396833712864
0.255,43.3707016208255
0.26,43.2760425580993
0.265,41.9038287643178
0.27,44.8768633678912
0.275,42.7918411818809
0.28,42.3348115254917
0.285,41.4566130413202
0.29,42.7068806730042
0.295,45.3730208834852
0.3,43.025273330589
0.305,42.1911182603854
0.31,44.1341717669637
0.315,43.4622332516492
0.32,45.509542795736
0.325,43.993233291698
0.33,41.7542738310595
0.335,41.7366102313046
0.34,43.2158290594239
0.345,44.1577697286367
0.35,44.1209879887903
0.355,42.4273405143324
0.36,43.8124877401179
0.365,43.4513239459226
0.37,42.5332371161821
0.375,43.9009381185641
0.38,42.0763942382039
0.385,41.941724393659
0.39,42.657471839209
0.395,42.6744830990565
0.4,43.4374997670186
0.405,43.0906090230794
0.41,41.3961451155329
0.415,42.2299062853067
0.42,43.7581977356596
0.425,42.850314005656
0.43,42.9126537885809
0.435,42.7551079678546
0.44,41.1908469211463
0.445,41.435916313674
0.45,43.8596837625102
0.455,43.1811091757603
0.46,42.3842855030005
0.465,42.2064658660727
0.47,42.1203700366191
0.475,41.5165052765961
0.48,41.3880841936584
0.485,43.4640708645226
0.49,43.118266206103
0.495,43.3796671541352
0.5,40.1671987551388
0.505,41.306456209883
0.51,41.6457619511531
0.515,41.1291164458921
0.52,44.0192783818237
0.525,43.0160155827286
0.53,42.5071381289014
0.535,40.3975050200603
0.54,40.8354867304521
0.545,42.1175081518607
0.55,41.6912668862272
0.555,42.3964222990692
0.56,43.3844917557029
0.565,42.7414796036114
0.57,42.3037560462834
0.575,40.292609271978
0.58,40.0185139643353
0.585,42.7401987946189
0.59,42.5179033466539
0.595,44.5296436204865
0.6,42.957627048476
0.605,43.7600063001187
0.61,40.6613872245451
0.615,40.5439797162678
0.62,40.9662680176037
0.625,40.3119882569846
0.63,40.6741796623793
0.635,43.2668031565458
0.64,41.3009013612896
0.645,40.953435990055
0.65,43.1726868297065
0.655,40.2733387550444
0.66,39.6497293372043
0.665,42.1934957696237
0.67,41.3081794430977
0.675,42.7889406797789
0.68,43.1931417615511
0.685,43.8047279969105
0.69,43.1328772959821
0.695,40.3412047045807
0.7,40.3131523682291
0.705,41.0372814318877
0.71,39.8486183677086
0.715,39.4056555142924
0.72,40.0785832298365
0.725,43.1457567028462
0.73,41.5216681910904
0.735,43.9227115241178
0.74,42.5311971007955
0.745,41.1886430235293
0.75,40.7185629044799
0.755,41.7202353366547
0.76,38.1888809409703
0.765,40.362206499703
0.77,39.0235966816844
0.775,42.0558973663118
0.78,40.2205095762214
0.785,40.3755903723711
0.79,40.6894731790472
0.795,40.0990821592155
0.8,40.2121760656177
0.805,40.6658673443612
0.81,40.1596508231365
0.815,38.34927591593
0.82,39.1371540522575
0.825,39.6767545511117
0.83,41.7004555902175
0.835,41.4474460776388
0.84,45.8975091058107
0.845,43.4018747519342
0.85,40.8884295716152
0.855,40.4310161329669
0.86,39.8532555527721
0.865,39.4933879182305
0.87,39.5155099903369
0.875,41.4060386110688
0.88,39.1526238091186
0.885,39.3763259709311
0.89,37.6357706034228
0.895,41.2171841205902
0.9,41.7104792962795
0.905,41.2074678821634
0.91,40.5224451559696
0.915,41.2490414347883
0.92,39.887626012309
0.925,38.8076067375439
0.93,40.0220884981637
0.935,41.6217760466599
0.94,36.7680147313417
0.945,37.9709541867704
0.95,35.7524289481774
0.955,40.8271685107692
0.96,37.6018653006427
0.965,40.0680601434685
0.97,39.7826145802573
0.975,39.5158600263433
0.98,40.3668530910658
0.985,40.8693868714505
0.99,43.1075424944381
0.995,39.924816497755
1,39.2085478940552
1.005,39.8056847738699
1.01,36.5656573986182
1.015,38.1568511622849
1.02,38.7376367115892
1.025,38.6985576199113
1.03,37.8278245063977
1.035,39.4495603685214
1.04,42.0728598844228
1.045,38.4949162913886
1.05,39.2852769711189
1.055,40.8001219325025
1.06,40.8388836469862
1.065,41.4922767445999
1.07,42.0290858377909
1.075,40.9187398485778
1.08,38.6998397509132
1.085,38.3699636456688
1.09,37.4965461922125
1.095,37.2038972059664
1.1,38.7805239433363
1.105,38.0357420075163
1.11,37.0177002616647
1.115,37.4279338596044
1.12,38.4897406696125
1.125,37.1912305733819
1.13,40.2925464955808
1.135,39.4506577019966
1.14,40.8534316229864
1.145,41.1526854108676
1.15,40.8323269932551
1.155,40.3731464325461
1.16,41.1857538384843
1.165,38.054910884727
1.17,39.2276379017674
1.175,40.3128231855581
1.18,40.3295918563363
1.185,38.5171923964322
1.19,37.3956690128791
1.195,38.4847848881392
1.2,37.03640207075
1.205,35.9787726805314
1.21,37.843393606878
1.215,36.0284894752649
1.22,37.118420785178
1.225,37.7745843861215
1.23,38.1716909478097
1.235,40.1768159768158
1.24,38.3267138435394
1.245,41.1190283866407
1.25,39.2399250863555
1.255,40.8727638590268
1.26,39.3288274717641
1.265,38.7103481128625
1.27,42.1799731615887
1.275,41.3716073213793
1.28,39.3122662228775
1.285,38.6551875894376
1.29,39.2947602592412
1.295,37.8629773625986
1.3,36.9597243898806
1.305,34.2131853712124
1.31,37.7371415891339
1.315,37.0074244891956
1.32,38.8869838525477
1.325,36.213314215015
1.33,39.1595787475992
1.335,36.4636037188988
1.34,37.3290963393359
1.345,41.6343760582492
1.35,40.6679184703833
1.355,39.5625435060661
1.36,43.143410025543
1.365,38.7664741648613
1.37,41.4596394338785
1.375,43.645677137513
1.38,40.5581800914276
1.385,38.9768777690948
1.39,38.9723010544374
1.395,40.6443486168612
1.4,39.7993244718823
1.405,39.0933309403438
1.41,41.0873781287195
1.415,38.2467929942424
1.42,37.0816264962296
1.425,38.2521065143347
1.43,37.0951002379282
1.435,34.9902557248587
1.44,36.2472647677097
1.445,35.6286194542362
1.45,37.3950573238017
1.455,35.8273707239253
1.46,33.8996780527924
1.465,37.1212018546715
1.47,36.2194427503209
1.475,39.9358379247334
1.48,38.3787665464809
1.485,38.1250347924443
1.49,37.1180147872504
1.495,41.2184417518006
1.5,39.2055039465175
1.505,39.083266249673
1.51,38.333051050682
1.515,37.8400233401382
1.52,38.0891386970445
1.525,38.6990251578903
1.53,38.3916331256201
1.535,38.320065027373
1.54,40.1267392730263
1.545,39.0449871082352
1.55,38.4948110973534
1.555,38.0480872914045
1.56,37.5933173904233
1.565,38.462020974023
1.57,38.2743898858179
1.575,39.6075003926082
1.58,38.1894852720379
1.585,38.0280854553563
1.59,37.8897524627086
1.595,36.6481798660437
1.6,37.6797363774509
1.605,37.0887330150838
1.61,38.3735177797616
1.615,35.5733578896576
1.62,35.5025941003499
