t,SNR
0,-0.859489121888231
0.005,-8.77072580067367
0.01,-13.4994197702816
0.015,-3.37758799272922
0.02,-7.35252060955997
0.025,-11.2565518609302
0.03,-15.7208034797738
0.035,-10.8981282970115
0.04,-15.5798412468893
0.045,-14.7853401621372
0.05,-5.66015980308747
0.055,-3.96202778190646
0.06,-9.6495180070803
0.065,-21.4985567396492
0.07,-7.36542638650148
0.075,-8.30464209762125
0.08,-23.9984730165393
0.085,-27.3665180037316
0.09,-8.22135093110205
0.095,-10.3454941964164
0.1,-9.84709295043173
0.105,-8.19184728887343
0.11,-5.31833457159682
0.115,-21.686876070628
0.12,-14.5091264753434
0.125,-11.3612162766018
0.13,-6.88282660684197
0.135,-8.47861398939645
0.14,-2.57770696625049
0.145,-12.5100147499946
0.15,-4.87526923593698
0.155,-8.6447621407148
0.16,-23.4889306864836
0.165,-12.5084551483181
0.17,-34.4519913461571
0.175,-8.3058985182123
0.18,-11.7343302853014
0.185,-6.6577126523797
0.19,-5.212758611814
0.195,-18.7493979224859
0.2,-18.2340942718902
0.205,-10.7963532394937
0.21,-7.45931299999765
0.215,-3.85150102370098
0.22,-11.67799276042
0.225,-5.64152006454738
0.23,-5.00080993666633
0.235,-10.8751606231517
0.24,-15.8478805462387
0.245,-13.9278935263915
0.25,-8.0959344984813
0.255,-10.2159667903939
0.26,-1.98543732703226
0.265,-15.2707018237655
0.27,-16.9258884879391
0.275,-9.99858240860627
0.28,-0.628430130565263
0.285,-14.0200906968729
0.29,-10.8488076086488
0.295,-14.2191777344417
0.3,-8.44150304449418
0.305,-3.25338935357917
0.31,2.07580893857238
0.315,-3.92634947902896
0.32,-13.859403099781
0.325,-5.75800826392047
0.33,-8.9662826203504
0.335,-14.9469693843951
0.34,-24.1507709467186
0.345,-12.5793502792265
0.35,-4.7783183187054
0.355,-11.5177488274111
0.36,-14.8129939099586
0.365,-1.97918608014072
0.37,-10.1813121996362
0.375,-8.20234769092067
0.38,-7.25403613324099
0.385,-10.138117096049
0.39,-6.33818957623978
0.395,-9.0204307292518
0.4,-10.8516852287765
0.405,-10.4090190357812
0.41,-7.1064194827877
0.415,-14.098767832662
0.42,-9.4125956701215
0.425,-20.2859553618907
0.43,-12.7330131301536
0.435,-14.9339819069751
0.44,-5.20684037117697
0.445,-16.0679088356243
0.45,-33.3358762184645
0.455,-12.1067901398396
0.46,-11.3922671756087
0.465,-9.76421523244721
0.47,-7.49078915721134
0.475,-6.01222988084889
0.48,-15.9057797175473
0.485,-9.49397578810846
0.49,-5.61227870303964
0.495,-7.68148546581637
0.5,-12.740963387248
0.505,-18.7411133185199
0.51,-13.538204526544
0.515,-21.4332006846767
0.52,-8.62210279804991
0.525,-12.8007614019192
0.53,-12.6375221807671
0.535,-12.1150036915381
0.54,-8.45325508203848
0.545,-9.94951872907784
0.55,-23.1423648970602
0.555,-10.0985938977753
0.56,-3.30019794731233
0.565,-8.79464466094376
0.57,-4.66212842621023
0.575,-8.03584400062587
0.58,-2.74482018075041
0.585,-25.2569415152369
0.59,-12.7229115290186
0.595,-10.2734154144165
0.6,-10.4541396665785
0.605,-6.20370875316267
0.61,-14.1928865280747
0.615,-9.99385700745071
0.62,-13.6330342420768
0.625,-17.2671185409668
0.63,-11.6511893165517
0.635,-7.2718919003452
0.64,-18.5018173782848
0.645,-5.61611504809221
0.65,-8.32577306015438
0.655,-3.80530138199951
0.66,-10.1670950909713
0.665,-5.81152646625128
0.67,-16.8246449306587
0.675,-14.4906727733488
0.68,-10.0109366683685
0.685,-21.7671568776978
0.69,-6.28582361911364
0.695,-12.7383346612265
0.7,-8.54142205774265
0.705,-12.2097651399086
0.71,-13.2974008358758
0.715,-14.3725721040708
0.72,-19.0284961260571
0.725,-16.489031009437
0.73,-8.08204645755883
0.735,-15.0736073867107
0.74,-10.1909055958361
0.745,-16.0029076839192
0.75,-8.54399885465178
0.755,-13.0197356071505
0.76,-16.7606645181248
0.765,-4.81719286107634
0.77,-2.90459789597321
0.775,-8.07027418555919
0.78,-4.01147292013937
0.785,-1.85229176817995
0.79,-4.70778155804821
0.795,-12.134554068872
0.8,-10.3390542494115
0.805,-9.42542668500668
0.81,-15.8204385471942
0.815,-10.9675451230888
0.82,-4.59681113564592
0.825,-16.4064050810306
0.83,-11.4986771288453
0.835,-4.88711255435753
0.84,-9.72338035193862
0.845,-5.67903732337697
0.85,-15.9796459631167
0.855,-12.6726935516744
0.86,-4.77375774111876
0.865,0.870597250467284
0.87,-2.56540992935972
0.875,-2.69863367337661
0.88,-12.342907546269
0.885,-20.7625855338211
0.89,-12.653752061518
0.895,-10.2024776291956
0.9,-6.19403388363757
0.905,-1.04360217619562
0.91,-8.28922820889721
0.915,-15.8835999889404
0.92,-23.8954618175218
0.925,-8.67124775282025
0.93,-14.4519977974139
0.935,-4.04266483589316
0.94,-13.5428549414016
0.945,-11.9310985033407
0.95,-5.95105892825357
0.955,-3.99197079263358
0.96,-5.20995348114282
0.965,-8.60086690418893
0.97,-8.93615621913047
0.975,-10.4963188830262
0.98,-10.069087234312
0.985,-12.3992079327272
0.99,-2.40827624483111
0.995,-14.3281516330062
1,-13.616299313119
1.005,-1.18448945337924
1.01,-15.061892742443
1.015,-7.7867627406013
1.02,-1.84087470974957
1.025,-10.688990097205
1.03,-9.77095569133385
1.035,-8.73473432897403
1.04,-4.98268734556663
1.045,-2.3309804050938
1.05,-9.73992423143328
1.055,3.92203755146944
1.06,-5.74150166608604
1.065,-17.1564285431348
1.07,-6.88745577796121
1.075,1.38965129747284
1.08,-9.63696114443526
1.085,1.75568292856678
1.09,-0.804731798281153
1.095,-4.51626451717397
1.1,-0.567696427139708
1.105,-22.5610345058378
1.11,-12.2184276147136
1.115,2.94110928075133
1.12,-0.303048308783389
1.125,-9.1109739112832
1.13,1.68068510268607
1.135,5.3390086926525
1.14,-10.8225270532637
1.145,-8.05513574804398
1.15,-2.49801776217573
1.155,-0.29887364214089
1.16,-4.42798732435895
1.165,-2.0307620771494
1.17,-5.62046646462254
1.175,-9.24061514260235
1.18,1.89058986185725
1.185,2.58273569534141
1.19,-2.80103558985297
